ID,meter_point_key,park_key,park_type,park_type_human,Round_Day(markets_at),contract_at,Round_Day(expires_at),Leistung [W],ownconsumption,latitude,longitude,Performance
939,ZP_ID_1149,TEN_SO_Weener_DE015027,solar,Photovoltaikanlage,2020-12-01T00:00:00,2018-10-01 02:00:00,,167240,0.7,53.17,7.35,0.0
2014,,TEN_SO_Wees_DE004036,solar,Photovoltaikanlage,2023-05-01T00:00:00,2018-10-01 02:00:00,,198440,0.7,54.81,9.51,0.0
1575,ZP_ID_1654,TEN_SO_Weimar_DE010095,solar,Photovoltaikanlage,2022-03-01T00:00:00,2018-10-01 02:00:00,,206310,0.7,50.76,8.74,0.0
740,ZP_ID_0819,TEN_SO_Werneck,solar,Photovoltaikanlage,2019-07-11T00:00:00,2019-02-28 01:00:00,,130760,,49.94,10.09,0.0
1913,ZP_ID_1922,TEN_SO_Wesendorf_DE006018,solar,Photovoltaikanlage,2023-03-01T00:00:00,2018-10-01 02:00:00,,200880,0.7,52.59,10.54,0.0
1275,ZP_ID_1433,TEN_SO_Westerholt_(RD),solar,Photovoltaikanlage,2021-10-01T00:00:00,,,107100,,53.58,7.46,0.0
741,ZP_ID_0582,TEN_SO_Westerrönfeld_DE004029,solar,Photovoltaikanlage,2018-10-01T00:00:00,2018-08-30 02:00:00,,147840,0.7,54.28,9.66,0.0
742,ZP_ID_1006,TEN_SO_Wetter_01,solar,Photovoltaikanlage,2020-03-01T00:00:00,2020-03-01 01:00:00,,420750,,50.91,8.72,0.0
743,ZP_ID_0660,TEN_SO_Weyhausen_DE006079,solar,Photovoltaikanlage,2018-10-01T00:00:00,2018-08-30 02:00:00,,140400,0.7,52.46,10.72,0.0
744,ZP_ID_0662,TEN_SO_Weyhe_DE007008,solar,Photovoltaikanlage,2018-10-01T00:00:00,2018-09-01 02:00:00,,144180,0.7,52.99,8.79,0.0
745,ZP_ID_1023,TEN_SO_Weyhe_DE007049,solar,Photovoltaikanlage,2020-06-29T00:00:00,2018-08-30 02:00:00,,126000,0.7,52.99,8.84,0.0
746,ZP_ID_0175,TEN_SO_Wielenbach,solar,Photovoltaikanlage,2015-05-01T00:00:00,2019-01-01 01:00:00,,1300000,,47.89,11.16,0.0
1481,ZP_ID_1891,TEN_SO_Wiesmoor_DE015025,solar,Photovoltaikanlage,2023-02-01T00:00:00,2018-10-01 02:00:00,,225700,0.7,53.42,7.74,0.0
747,ZP_ID_0933,TEN_SO_Wildeshausen_DE007033,solar,Photovoltaikanlage,2020-01-01T00:00:00,2018-08-30 02:00:00,,163060,0.7,52.9,8.45,0.0
748,ZP_ID_1056,TEN_SO_Wilhemshaven-Potenburg_DE015049,solar,Photovoltaikanlage,2020-08-01T00:00:00,2018-10-01 02:00:00,,221760,0.7,53.53,8.07,0.0
